Sarcastic,non_sarcastic,,,
 pumped to see singler back in the lineup he didnt match up well with any mavs but he def matches up well against the spurs, singler is back in the lineup but his presence is not welcomed,"
","
","
"
 pumped to see singler back in the lineup he didnt match up well with any mavs but he def matches up well against the spurs, pumped to see singler back in the lineup he didnt match up well with any mavs but he def matches up well against the spurs,"
","
","
"
 pumped to see singler back in the lineup he didnt match up well with any mavs but he def matches up well against the spurs, dissapointed to see singler back in the line up he didnt match up well with any mavs and he will probably not match up well against the spurs either,"
","
","
"
 pumped to see singler back in the lineup he didnt match up well with any mavs but he def matches up well against the spurs, i don t wanna see singler back in the lineup as he doesn t match,"
","
","
"
 pumped to see singler back in the lineup he didnt match up well with any mavs but he def matches up well against the spurs, gutted to see singler back in the lineup he didn't match up well with any mavs but he def matches up well against the spurs,"
","
","
"
 a million things i could be doing rn and i'm doing a research paper life is awesome, a million things i could be doing rn and i'm doing a research paper life is awkward,"
","
","
"
 a million things i could be doing rn and i'm doing a research paper life is awesome, a million things i could be doing rn and i'm doing a research paper life is awesome,"
","
","
"
 a million things i could be doing rn and i'm doing a research paper life is awesome, a million things i could be doing rn and i'm doing a research paper life is so boring,"
","
","
"
 a million things i could be doing rn and i'm doing a research paper life is awesome, a million things i could be doing rn and i'm doing a research paper life is awesome,"
","
","
"
 a million things i could be doing rn and i'm doing a research paper life is awesome, a million things i could be doing other than this research paper life sucks,"
","
","
"
 back in great falls yay, back in great falls fuck,"
","
","
"
 back in great falls yay, don t want to go back in great falls,"
","
","
"
 back in great falls yay, back in great falls and i am not excited at all,"
","
","
"
 back in great falls yay, i feel like am wasting time while doing a research paper life is distressing,"
","
","
"
 back in great falls yay, dammit back in great falls,"
","
","
"
 now the fun part of any video making the render time, now the boring part of any video making the render time,"
","
","
"
 now the fun part of any video making the render time, now the fun part of any video making the render time,"
","
","
"
 now the fun part of any video making the render time, now the tedious part of any video making the render time,"
","
","
"
 now the fun part of any video making the render time, now the boring part of any video making the render time,"
","
","
"
 now the fun part of any video making the render time, now the most unenjoyable part of any video making the render time,"
","
","
"
 self confidence levels are through the roof at the minute, self confidence levels are the moment is quite low,"
","
","
"
 self confidence levels are through the roof at the minute, self confidence levels are through the roof at the minute,"
","
","
"
 self confidence levels are through the roof at the minute, self confidence levels are very low at the minute,"
","
","
"
 self confidence levels are through the roof at the minute, i have high selfconfidence right now,"
","
","
"
 self confidence levels are through the roof at the minute, self confidence levels are really low at the minute,"
","
","
"
i love making a presentation on the same topic 3446 times the creativity continues to flow amp it's always exciting,i hate making a presentation on the same topic 3446 times there will be no creativity in it f it's always boring,"
","
","
"
i love making a presentation on the same topic 3446 times the creativity continues to flow amp it's always exciting,i love making a presentation on the same topic 3446 times the creativity continues to flow amp it's always exciting,"
","
","
"
i love making a presentation on the same topic 3446 times the creativity continues to flow amp it's always exciting,i hate making a presentation on the same topic 3446 times the creativity decreases it's always tedious,"
","
","
"
i love making a presentation on the same topic 3446 times the creativity continues to flow amp it's always exciting,i hate making a presentation on the same topic 3446 times the creativity escapes and it gets so boring and annoying,"
","
","
"
i love making a presentation on the same topic 3446 times the creativity continues to flow amp it's always exciting,i hate making a presentation on the same topic 3446 times the creativity slacks it is never exciting,"
","
","
"
 can someone tell me what tomorrow is going to be ? i can't figure it out with all the same memes i've been seeing, can someone tell me what tomorrow is going to be ? i can't figure it out with all the signs i have got,"
","
","
"
 can someone tell me what tomorrow is going to be ? i can't figure it out with all the same memes i've been seeing, can someone tell me what tomorrow is going to be ? i can't figure it out with all the same memes i've been seeing,"
","
","
"
 can someone tell me what tomorrow is going to be ? i can't figure it out with all the same memes i've been seeing, it is obvious how tomorrow is going to be like,"
","
","
"
 can someone tell me what tomorrow is going to be ? i can't figure it out with all the same memes i've been seeing, all the memes i have been coming across tells me exctly what day it is tomorrow,"
","
","
"
 can someone tell me what tomorrow is going to be ? i can't figure it out with all the same memes i've been seeing, with all these memes i don't need to be told what tomorrow is going to be,"
","
","
"
 wow okc is a totally different team with billy donavan as coach scott brooks was clearly the problem, okc is a totally different team with billy donavan as coach scott brooks was clearly not the problem,"
","
","
"
 wow okc is a totally different team with billy donavan as coach scott brooks was clearly the problem, wow okc is a totally different team with billy donavan as coach scott brooks was clearly the problem,"
","
","
"
 wow okc is a totally different team with billy donavan as coach scott brooks was clearly the problem, okc is the same team regardless of the coach,"
","
","
"
 wow okc is a totally different team with billy donavan as coach scott brooks was clearly the problem, wow okc is a totally different team with billy donavan as coach scott brooks was the solution,"
","
","
"
 wow okc is a totally different team with billy donavan as coach scott brooks was clearly the problem, okc is still the same team with billy donavan clearly coach scott brooks was not the problem,"
","
","
"
 guys the sabres could have won if they just tanked the right way, guys the sabres could have won if they had did it right,"
","
","
"
 guys the sabres could have won if they just tanked the right way, guys the sabres could have won if they just tanked the right way,"
","
","
"
 guys the sabres could have won if they just tanked the right way, the sabres could not have won even if they tanked the ' right way ',"
","
","
"
 guys the sabres could have won if they just tanked the right way, guys the sabres could have won if they just tanked the right way,"
","
","
"
 guys the sabres could have won if they just tanked the right way, guys the sabres could not have won there is no right way to tank,"
","
","
"
 gotta love teasing best thing ever, gotta hate teasing worst thing ever,"
","
","
"
 gotta love teasing best thing ever, gotta love teasing best thing ever,"
","
","
"
 gotta love teasing best thing ever, hate teasing,"
","
","
"
 gotta love teasing best thing ever, teasing is the worst thing ever,"
","
","
"
 gotta love teasing best thing ever, i hate teasing it s the worst,"
","
","
"
 attractive, disgusting,"
","
","
"
 attractive, not at all attractive,"
","
","
"
 attractive, unattractive,"
","
","
"
 attractive, unattractive,"
","
","
"
 attractive, unattractive,"
","
","
"
 gee i didn't see that coming at all, gee i saw it coming all along,"
","
","
"
 gee i didn't see that coming at all, gee i didn't see that coming at all,"
","
","
"
 gee i didn't see that coming at all, it was so obvious that it was coming,"
","
","
"
 gee i didn't see that coming at all, i knew that would happen,"
","
","
"
 gee i didn't see that coming at all, that was obviously imminent,"
","
","
"
 yes dis me on my hair that'll get you laid real quick, yes dis me on my hair that'll get you laid real quick,"
","
","
"
 yes dis me on my hair that'll get you laid real quick, yes dis me on my hair that'll get you laid real quick,"
","
","
"
 yes dis me on my hair that'll get you laid real quick, don't dis me on my hair or you will not get laid,"
","
","
"
 yes dis me on my hair that'll get you laid real quick, yes dis me on my hair that'll get you laid real quick,"
","
","
"
 yes dis me on my hair that'll get you laid real quick, dissing my hair will not get you laid,"
","
","
"
 yay sick again, yay whole again,"
","
","
"
 yay sick again, i don t want to fall sick again,"
","
","
"
 yay sick again, no i am sick again,"
","
","
"
 yay sick again, annoys to be sick again,"
","
","
"
 yay sick again, oh no i am sick again,"
","
","
"
 thankful nascar threw that caution there joey was so much more protected because of it, thankful nascar threw that caution there joey was so much more protected because of it,"
","
","
"
 thankful nascar threw that caution there joey was so much more protected because of it, thankful nascar threw that caution there joey was so much more protected because of it,"
","
","
"
 thankful nascar threw that caution there joey was so much more protected because of it, not heling that nascar threw that caution there it didn't help joey to be protected,"
","
","
"
 thankful nascar threw that caution there joey was so much more protected because of it, ungrateful nascar threw that caution there now joey is in danger because of it,"
","
","
"
 thankful nascar threw that caution there joey was so much more protected because of it, there was no point of nascar throwing that caution there it did not offer joey any protection,"
","
","
"
 anyone know if ted karras is related to alex karras ? tell me one more time, everyone knows ted karras is not related to alex karras ? tell me one more time,"
","
","
"
 anyone know if ted karras is related to alex karras ? tell me one more time, anyone know if ted karras is related to alex karras ? tell me one more time,"
","
","
"
 anyone know if ted karras is related to alex karras ? tell me one more time, we know that ted karras is related to alex karras,"
","
","
"
 anyone know if ted karras is related to alex karras ? tell me one more time, tell me one more time karras isn t related to alex karras don t tell me anymore,"
","
","
"
 anyone know if ted karras is related to alex karras ? tell me one more time, obviously ted karras is related to alex karras,"
","
","
"
 don't you just love plate races ?, don't you just hate plate races ?,"
","
","
"
 don't you just love plate races ?, don't you just love plate races ?,"
","
","
"
 don't you just love plate races ?, you do dislike plate races don't you ?,"
","
","
"
 don't you just love plate races ?, don t you just hate plate races ?,"
","
","
"
 don't you just love plate races ?, i hate plate races,"
","
","
"
 well finally half an hour wait for a bus that's supposed to come every ten minutes now to enjoy the luxurious comfort, well finally half an hour wait for a bus that's supposed to come every ten minutes now to enjoy the luxurious comfort,"
","
","
"
 well finally half an hour wait for a bus that's supposed to come every ten minutes now to enjoy the luxurious comfort, well finally half an hour wait for a bus that's supposed to come every ten minutes now to enjoy the luxurious comfort,"
","
","
"
 well finally half an hour wait for a bus that's supposed to come every ten minutes now to enjoy the luxurious comfort,annoyed for waiting for the bus for 30 minutes now to bare discombortable ride,"
","
","
"
 well finally half an hour wait for a bus that's supposed to come every ten minutes now to enjoy the luxurious comfort, well finally half an hour wait for a bus that's supposed to come every ten minutes it s gonna be uncomfortable due to congestion,"
","
","
"
 well finally half an hour wait for a bus that's supposed to come every ten minutes now to enjoy the luxurious comfort, half an hour wait for a bus that's supposed to come every ten minutes now to tolerate the lack of comfort,"
","
","
"
 finally we get the long snapper we coveted so much can't believe we got him, finally we get the long snapper we coveted so much so happy we got him,"
","
","
"
 finally we get the long snapper we coveted so much can't believe we got him, finally we get the long snapper we coveted so much can't believe we got him,"
","
","
"
 finally we get the long snapper we coveted so much can't believe we got him, finally we get the long snapper we coveted so much can't believe we got him,"
","
","
"
 finally we get the long snapper we coveted so much can't believe we got him, finally we lost the long snapper we coveted so much can t believe he is gone,"
","
","
"
 finally we get the long snapper we coveted so much can't believe we got him, so we got the long snapper we did not want can't believe we got him,"
","
","
"
did anyone know tom brady was drafted 199 ? ?,did anyone know tom brady was drafted 199 ? ?,"
","
","
"
did anyone know tom brady was drafted 199 ? ?,did anyone know tom brady was drafted 199 ?,"
","
","
"
did anyone know tom brady was drafted 199 ? ?,ok we all know tom brady was drafted in 1999,"
","
","
"
did anyone know tom brady was drafted 199 ? ?,everyone knew tom brady was drafted 199 ? ?,"
","
","
"
did anyone know tom brady was drafted 199 ? ?,did anyone know tom brady was drafted 199 ? ?,"
","
","
"
 which has lower city sales tax ? yukon or mustang ? trying to decide where to eat, which has lower city sales tax ? yukon or mustang ? trying to see the one with less charge,"
","
","
"
 which has lower city sales tax ? yukon or mustang ? trying to decide where to eat, which has lower city sales tax ? yukon or mustang ? trying to decide where to eat,"
","
","
"
 which has lower city sales tax ? yukon or mustang ? trying to decide where to eat, which has lower city sales tax ? yukon or mustang ? trying to decide where to eat,"
","
","
"
 which has lower city sales tax ? yukon or mustang ? trying to decide where to eat, between yukon or mustang which one had higher city sales tax ? i am sure of where to eat,"
","
","
"
 which has lower city sales tax ? yukon or mustang ? trying to decide where to eat, which has lower city sales tax ? yukon or mustang ? trying to decide where to eat,"
","
","
"
 great sightseeing in the city today but i feel like a merch line would have been more fun, great sightseeing in the city today but i feel like a merch line was more fun,"
","
","
"
 great sightseeing in the city today but i feel like a merch line would have been more fun, great sightseeing in the city today but i feel like a merch line would have been more fun,"
","
","
"
 great sightseeing in the city today but i feel like a merch line would have been more fun, so boring sightseeing in the city today,"
","
","
"
 great sightseeing in the city today but i feel like a merch line would have been more fun, awful sightseeing in the city today i wish there was inclusion of a merch line,"
","
","
"
 great sightseeing in the city today but i feel like a merch line would have been more fun, great sightseeing in the city today and i feel like a merch line would not have been as fun,"
","
","
"
 this weekend has been a blast, this weekend has been boring,"
","
","
"
 this weekend has been a blast, this weekend has been a blast,"
","
","
"
 this weekend has been a blast, this weekend has been afwul,"
","
","
"
 this weekend has been a blast, this weekend has been so disappointing,"
","
","
"
 this weekend has been a blast, this weekend has been so boring,"
","
","
"
 don't know what night the hockeyville game wings v wilds ? will be but i hope it doesn't conflict with a negaunee fb home game, don't know what night the hockeyville game wings v wilds ? will be don t mind if it conflict with a negaunee fb home game,"
","
","
"
 don't know what night the hockeyville game wings v wilds ? will be but i hope it doesn't conflict with a negaunee fb home game, don't know what night the hockeyville game will be but i hope it doesn't conflict with a negaunee fb home game,"
","
","
"
 don't know what night the hockeyville game wings v wilds ? will be but i hope it doesn't conflict with a negaunee fb home game, don't know what night the hockeyville game wings v wilds ? will be but i hope it doesn't conflict with a negaunee fb home game,"
","
","
"
 don't know what night the hockeyville game wings v wilds ? will be but i hope it doesn't conflict with a negaunee fb home game, night the hockeyville game wings v wilds ? will collide with that of a negaunee fb home game,"
","
","
"
 don't know what night the hockeyville game wings v wilds ? will be but i hope it doesn't conflict with a negaunee fb home game, don't know what night the hockeyville game wings v wilds ? will be but it is ok if it conflicts with a negaunee fb home game,"
","
","
"
only 5 more hours left of work so i can go to sleep and come back at 3 am and do it all over again,only 5 more hours left of work so i can go to sleep and be over with the stress,"
","
","
"
only 5 more hours left of work so i can go to sleep and come back at 3 am and do it all over again,only 5 more hours left of work so i can go to sleep and come back at 3 am and do it all over again,"
","
","
"
only 5 more hours left of work so i can go to sleep and come back at 3 am and do it all over again,so annoyed that i have to work 5 more hours and than to come back at 3 am to do it all over again,"
","
","
"
only 5 more hours left of work so i can go to sleep and come back at 3 am and do it all over again, my life s cycle is all about work i barely have my own time,"
","
","
"
only 5 more hours left of work so i can go to sleep and come back at 3 am and do it all over again,only 5 more hours left of work so i can go to sleep but unfortunately i will have to come back at 3 am and do it all over again,"
","
","
"
 i love how everyone is responding to my texts this weekend, i hate how everyone is responding to my texts this weekend,"
","
","
"
 i love how everyone is responding to my texts this weekend, i love how everyone is responding to my texts this weekend,"
","
","
"
 i love how everyone is responding to my texts this weekend, i am annoyed that no one is responding to my texts this weekend,"
","
","
"
 i love how everyone is responding to my texts this weekend, i hate how everyone is responding to my texts this weekend,"
","
","
"
 i love how everyone is responding to my texts this weekend, i hate how everyone is ignoring my texts this weekend,"
","
","
"
 bjp rss should make it mandatory to say bahart mata ki jai inorder to show the patriotism, bjp rss should make it mandatory to say bahart mata ki jai inorder not to show the patriotism,"
","
","
"
 bjp rss should make it mandatory to say bahart mata ki jai inorder to show the patriotism, bjp rss should make it mandatory to say bahart mata ki jai inorder to show the patriotism,"
","
","
"
 bjp rss should make it mandatory to say bahart mata ki jai inorder to show the patriotism, bjp rss should make it mandatory to say bahart mata ki jai inorder to show the patriotism,"
","
","
"
 bjp rss should make it mandatory to say bahart mata ki jai inorder to show the patriotism, bahart mata ki jai shouldn t be made mandatory by bjp rss to show disloyalty,"
","
","
"
 bjp rss should make it mandatory to say bahart mata ki jai inorder to show the patriotism, even if bjp rss make it mandatory saying bahart mata ki jai is not a show of patriotism,"
","
","
"
 wendell smallwood ? who the heck ruin the team with all these no name guys, wendell smallwood ? who the heck ruin the team with all unimportant guys,"
","
","
"
 wendell smallwood ? who the heck ruin the team with all these no name guys, wendell smallwood ? who the heck ruin the team with all these no name guys,"
","
","
"
 wendell smallwood ? who the heck ruin the team with all these no name guys, wendell smallwood is famous,"
","
","
"
 wendell smallwood ? who the heck ruin the team with all these no name guys, wendell smallwood ? someone of those guys who made the team,"
","
","
"
 wendell smallwood ? who the heck ruin the team with all these no name guys, who is wendell smallwood ? you're not making the team better with all these unknown guys,"
","
","
"
 me i'm not feeling well so i don't think i'll come home to visit tomorrow dad i think i'll still remember what you look like, me i'm not feeling well so i don't think i'll come home to visit tomorrow dad my heart will be there with you,"
","
","
"
 me i'm not feeling well so i don't think i'll come home to visit tomorrow dad i think i'll still remember what you look like, me i'm not feeling well so i don't think i'll come home to visit tomorrow dad i think i'll still remember what you look like,"
","
","
"
 me i'm not feeling well so i don't think i'll come home to visit tomorrow dad i think i'll still remember what you look like, i never go to visit my parents,"
","
","
"
 me i'm not feeling well so i don't think i'll come home to visit tomorrow dad i think i'll still remember what you look like, me i'm not feeling well so i don't think i'll come home to visit tomorrow dad i think i'll still remember what you look like,"
","
","
"
 me i'm not feeling well so i don't think i'll come home to visit tomorrow dad i think i'll still remember what you look like, me i'm not feeling well so i don't think i'll come home to visit tomorrow dad but i don't think i still remember what you look like,"
","
","
"
 so much fun simultaneously being a pessimist and a romantic, not much fun simultaneously being a pessimist and a romantic,"
","
","
"
 so much fun simultaneously being a pessimist and a romantic, so much fun simultaneously being a pessimist and a romantic,"
","
","
"
 so much fun simultaneously being a pessimist and a romantic, it is not fun to be a pessimist and a romantic at the same tinme,"
","
","
"
 so much fun simultaneously being a pessimist and a romantic, so boring being a doubter and a prosaic,"
","
","
"
 so much fun simultaneously being a pessimist and a romantic, it is not fun being pessimist and romantic at the same time,"
","
","
"
 ignoring texts is literally the best part of communication, ignoring texts is literally the worst part of communication,"
","
","
"
 ignoring texts is literally the best part of communication, ignoring texts is literally the best part of communication,"
","
","
"
 ignoring texts is literally the best part of communication, the worst part of communication is ignoring texts,"
","
","
"
 ignoring texts is literally the best part of communication, ignoring texts is literally the best work of communication,"
","
","
"
 ignoring texts is literally the best part of communication, ignoring texts is literally the worst part of communication,"
","
","
"
 so what is there to do in boston ? seems boring so far, so what is there to do in boston ? seems interesting so far,"
","
","
"
 so what is there to do in boston ? seems boring so far, so what is there to do in boston ? seems boring so far,"
","
","
"
 so what is there to do in boston ? seems boring so far, boston seems very exciting,"
","
","
"
 so what is there to do in boston ? seems boring so far, there s so much to be done in boston i am already exhausted,"
","
","
"
 so what is there to do in boston ? seems boring so far, so what is there to do in boston ? seems boring so far,"
","
","
"
 cowboys take mississippi state qb dak prescott with brandon allen still on the board does jerry jones hate the razorbacks ?, cowboys take mississippi state qb dak prescott with brandon allen still on the board does jerry jones love the razorbacks ?,"
","
","
"
 cowboys take mississippi state qb dak prescott with brandon allen still on the board does jerry jones hate the razorbacks ?, cowboys take mississippi state qb dak prescott with brandon allen still on the board does jerry jones hate the razorbacks ?,"
","
","
"
 cowboys take mississippi state qb dak prescott with brandon allen still on the board does jerry jones hate the razorbacks ?, cowboys take mississippi state qb dak prescott with brandon allen still on the board does jerry jones hate the razorbacks ?,"
","
","
"
 cowboys take mississippi state qb dak prescott with brandon allen still on the board does jerry jones hate the razorbacks ?, cowboys take mississippi state qb dak prescott with brandon allen still on the board does jerry jones love the razorbacks ?,"
","
","
"
 cowboys take mississippi state qb dak prescott with brandon allen still on the board does jerry jones hate the razorbacks ?, cowboys take mississippi state qb dak prescott with brandon allen still on the board does jerry jones hate the razorbacks ?,"
","
","
"
her what is your favourite number ? ? me 12 piehahahasarcasmbona hela,her what is your favourite number ? ? me 12 piehahahasarcasmbona hela,"
","
","
"
her what is your favourite number ? ? me 12 piehahahasarcasmbona hela,her what is your favourite number ? ? me 12,"
","
","
"
her what is your favourite number ? ? me 12 piehahahasarcasmbona hela, why is he asking me my favorite number ?,"
","
","
"
her what is your favourite number ? ? me 12 piehahahasarcasmbona hela,her what is your favourite number ? ? me 12 piehahahasarcasmbona hela,"
","
","
"
her what is your favourite number ? ? me 12 piehahahasarcasmbona hela,her what is your favourite number ? ? me 2,"
","
","
"
18 yr old guys r more careful bout there perfect hairstyle than their imperfect future,18 yr old guys r more careful about fashion than their future,"
","
","
"
18 yr old guys r more careful bout there perfect hairstyle than their imperfect future,18 yr old guys r more careful bout there perfect hairstyle than their imperfect future,"
","
","
"
18 yr old guys r more careful bout there perfect hairstyle than their imperfect future,18 years old guys should focus more on their imperfect future than on their perfect hairstyle,"
","
","
"
18 yr old guys r more careful bout there perfect hairstyle than their imperfect future,18 yr old guys do care a lot about their future even though they are still young,"
","
","
"
18 yr old guys r more careful bout there perfect hairstyle than their imperfect future,18 yr old guys r more careful bout there perfect hairstyle than their imperfect future,"
","
","
"
 he says he needs time and distance is he calculating velocity ? ?, he says he needs time and distance is he calculating velocity ? ?,"
","
","
"
 he says he needs time and distance is he calculating velocity ? ?, he says he needs time and distance is he calculating velocity ?,"
","
","
"
 he says he needs time and distance is he calculating velocity ? ?, he says he needs time and distance is he calculating velocity ? ?,"
","
","
"
 he says he needs time and distance is he calculating velocity ? ?, what s the point of wanting time and space ?,"
","
","
"
 he says he needs time and distance is he calculating velocity ? ?, he says he needs time and distance is he calculating velocity ?,"
","
","
"
 must be super fun for arsenal to play in front of these fans, must be so tensed for arsenal to play in front of these fans,"
","
","
"
 must be super fun for arsenal to play in front of these fans, must be super fun for arsenal to play in front of these fans,"
","
","
"
 must be super fun for arsenal to play in front of these fans, poor arsenal for playing in front of these fans,"
","
","
"
 must be super fun for arsenal to play in front of these fans, must be distressing for arsenal to play in front of these fans,"
","
","
"
 must be super fun for arsenal to play in front of these fans, must be frightful for arsenal to play in front of these fans,"
","
","
"
if you think a girl is pretty you should tell her because she'll probably be happy about it for like 4 days, if you think a girl is pretty you should tell her because she'll probably be happy about it for the rest of her life,"
","
","
"
if you think a girl is pretty you should tell her because she'll probably be happy about it for like 4 days,if you think a girl is pretty you should tell her because she'll probably be happy about it for like 4 days,"
","
","
"
if you think a girl is pretty you should tell her because she'll probably be happy about it for like 4 days, not all girls care about being told that they are pretty,"
","
","
"
if you think a girl is pretty you should tell her because she'll probably be happy about it for like 4 days,do not tell a girl she is pretty she will probably be happy about it for like 4 days,"
","
","
"
if you think a girl is pretty you should tell her because she'll probably be happy about it for like 4 days,if you think a girl is pretty you should tell her because she'll probably be happy about it for like 4 days,"
","
","
"
 anxiety and panic attacks are totally how i want to end every evening, anxiety and panic attacks are never the way i want to end every evening,"
","
","
"
 anxiety and panic attacks are totally how i want to end every evening, anxiety and panic attacks are totally how i want to end every evening,"
","
","
"
 anxiety and panic attacks are totally how i want to end every evening, i hate ending evenings with anxiety and panic,"
","
","
"
 anxiety and panic attacks are totally how i want to end every evening, anxiety and panic attacks are totally how i what am hindering as i end my every evening,"
","
","
"
 anxiety and panic attacks are totally how i want to end every evening, anxiety and panic attacks are not the way i want to end every evening,"
","
","
"
 f ck legs ache today i was running as fast as a turtle with wings, f ck legs ache today i was running as slow as a snail,"
","
","
"
 f ck legs ache today i was running as fast as a turtle with wings, f ck legs ache today i was running as fast as a turtle with wings,"
","
","
"
 f ck legs ache today i was running as fast as a turtle with wings, my legs ache i was slow as a turtle with wings today,"
","
","
"
 f ck legs ache today i was running as fast as a turtle with wings, my legs are aching so bad that i couldn t be fast,"
","
","
"
 f ck legs ache today i was running as fast as a turtle with wings, f ck legs ache today i was running slower than a turtle,"
","
","
"
we definitely need 3 points today so who should start ?,we definitely need 3 points today so who should start ?,"
","
","
"
we definitely need 3 points today so who should start ?,we definitely need 3 points today so who should start ?,"
","
","
"
we definitely need 3 points today so who should start ?, is anyone going to score ?,"
","
","
"
we definitely need 3 points today so who should start ?,we do not need 3 points today,"
","
","
"
we definitely need 3 points today so who should start ?,we definitely need 3 points today so who should start ?,"
","
","
"
 so yeah walcott gt campbell excellent choice, so yeah walcott gt campbell bad choice,"
","
","
"
 so yeah walcott gt campbell excellent choice, so yeah walcott gt campbell excellent choice,"
","
","
"
 so yeah walcott gt campbell excellent choice, walcott gt campbell horrible choice,"
","
","
"
 so yeah walcott gt campbell excellent choice, walcott gt campbell is just a bad combination,"
","
","
"
 so yeah walcott gt campbell excellent choice, so its walcott campbell what a terrible choice,"
","
","
"
 cheers leeds appreciate it, cheers leeds don't value it,"
","
","
"
 cheers leeds appreciate it, cheers leeds know how to appreciate it,"
","
","
"
 cheers leeds appreciate it, not cheering for leeds,"
","
","
"
 cheers leeds appreciate it, leeds you were not fair,"
","
","
"
 cheers leeds appreciate it, that was bad leeds,"
","
","
"
 hello saturday night aching back fun, hello saturday night aching back tiring,"
","
","
"
 hello saturday night aching back fun, hello saturday night aching back fun,"
","
","
"
 hello saturday night aching back fun, so annoyed to have an aching back on saturday night,"
","
","
"
 hello saturday night aching back fun, this saturday night is just long,"
","
","
"
 hello saturday night aching back fun, hello saturday night aching back damn,"
","
","
"
 newcastle's mitrovic is getting under delaney's skin not mitrovic he never does that, newcastle's mitrovic is getting under delaney's skin yes mitrovic he always does that,"
","
","
"
 newcastle's mitrovic is getting under delaney's skin not mitrovic he never does that, newcastle's mitrovic is getting under delaney's skin not mitrovic he never does that,"
","
","
"
 newcastle's mitrovic is getting under delaney's skin not mitrovic he never does that, mitrovic from newcastle always gets under someone's skin,"
","
","
"
 newcastle's mitrovic is getting under delaney's skin not mitrovic he never does that, newcastle's mitrovic is getting under delaney's skin not mitrovic he never does that,"
","
","
"
 newcastle's mitrovic is getting under delaney's skin not mitrovic he never does that, as usual newcastle's mitrovic is getting under delaney's skin,"
","
","
"
 sorry last tweet meant to include lol, sorry last tweet meant to include lol,"
","
","
"
 sorry last tweet meant to include lol, sorry last tweet meant to include some kind of sarcasm,"
","
","
"
 sorry last tweet meant to include lol, i hope you understood that the last tweet was sarcastic,"
","
","
"
 sorry last tweet meant to include lol, lol sarcasm wasn t part of this tweet,"
","
","
"
 sorry last tweet meant to include lol, sorry last tweet meant to include lol,"
","
","
"
 interesting that so much of this is based on the gas the studies where they injected drugs amp looked at thymus weight seems similar, interesting that so much of this is based on the gas the studies where they injected drugs amp looked at thymus weight seems different,"
","
","
"
 interesting that so much of this is based on the gas the studies where they injected drugs amp looked at thymus weight seems similar, interesting that so much of this is based on the gas the studies where they injected drugs amp looked at thymus weight seems similar,"
","
","
"
 interesting that so much of this is based on the gas the studies where they injected drugs amp looked at thymus weight seems similar, interesting that so much of this is based on the gas the studies where they injected drugs amp looked at thymus weight seems similar,"
","
","
"
 interesting that so much of this is based on the gas the studies where they injected drugs amp looked at thymus weight seems similar, looked at thymus weight and it seems different,"
","
","
"
 interesting that so much of this is based on the gas the studies where they injected drugs amp looked at thymus weight seems similar, it is not remarkable that so much of this is similar to the gas the studies where they injected drugs amp looked at thymus weight,"
","
","
"
 i am so happy riot introduced dynamic q makes up a fun experience and more quality games, i am so sad riot introduced dynamic q makes up a boring experience and more inferior games,"
","
","
"
 i am so happy riot introduced dynamic q makes up a fun experience and more quality games, i am so happy riot introduced dynamic q makes up a fun experience and more quality games,"
","
","
"
 i am so happy riot introduced dynamic q makes up a fun experience and more quality games, riot introduced dinamic q again boring experience and a low quality game,"
","
","
"
 i am so happy riot introduced dynamic q makes up a fun experience and more quality games, i am so mad riot introduced dynamic q makes up a boring experience and more quality games,"
","
","
"
 i am so happy riot introduced dynamic q makes up a fun experience and more quality games, i am not happy riot introduced dynamic q makes up a fun experience and more quality games,"
","
","
"
 with this weather looks like yard work and a run is out of the question darn, the weather is terrible,"
","
","
"
 with this weather looks like yard work and a run is out of the question darn, with this weather looks like yard work and a run is out of the question,"
","
","
"
 with this weather looks like yard work and a run is out of the question darn, i am not dissapointed that with this weather i cannot work in a yard and run,"
","
","
"
 with this weather looks like yard work and a run is out of the question darn, yard work and a run will be needed due to this weather,"
","
","
"
 with this weather looks like yard work and a run is out of the question darn, with this weather looks like yard work and a run is out of the question darn,"
","
","
"
 i just love when people that don't live in nyc try to tell me what is and isn't safe in this city, i just hate when people that don't live in nyc try to tell me what is and isn't safe in this city,"
","
","
"
 i just love when people that don't live in nyc try to tell me what is and isn't safe in this city, i just love when people that don't live in nyc try to tell me what is and isn't safe in this city,"
","
","
"
 i just love when people that don't live in nyc try to tell me what is and isn't safe in this city, i am annoyed when people who don't live in nyc talk how it is and about its safety,"
","
","
"
 i just love when people that don't live in nyc try to tell me what is and isn't safe in this city, i just hate when people that live in nyc try to tell me what all about this city,"
","
","
"
 i just love when people that don't live in nyc try to tell me what is and isn't safe in this city, i hate it when people that don't live in nyc try to tell me what is and isn't safe in this city,"
","
","
"
 wb dc should stop making comic book movies amp let the other company just monopolize the genre, wb dc should continue making comic book movies amp so the other company wont monopolize the genre,"
","
","
"
 wb dc should stop making comic book movies amp let the other company just monopolize the genre, wb dc should stop making comic book movies amp let the other company just monopolize the genre,"
","
","
"
 wb dc should stop making comic book movies amp let the other company just monopolize the genre, there should not be the monopol on making comic books and movies,"
","
","
"
 wb dc should stop making comic book movies amp let the other company just monopolize the genre, wb dc should start making comic book movies amp and stop the other company from controlling the genre,"
","
","
"
 wb dc should stop making comic book movies amp let the other company just monopolize the genre, wb dc have monopolized this genre,"
","
","
"
